frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count,active_vehicles,vehicle_class_counts,direction_a,direction_b,total_crossings,line_orientation
153,6.08,19,19,37.685199989937246,26.53561611102028,,,33.58809999190271,"{""car"": 15, ""truck"": 3, ""bus"": 1}",19,"{""car"": 15, ""truck"": 3, ""bus"": 1}",1,2,0,0,0,0,19,"{""car"": 15, ""truck"": 3, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
154,6.12,21,21,37.947800010442734,26.351988777341855,,,33.78410002915189,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
155,6.16,21,21,38.359700003638864,26.06902556342042,,,34.00610003154725,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
156,6.2,22,22,35.92150000622496,27.838481127645185,,,31.745399988722056,"{""car"": 19, ""truck"": 3}",22,"{""car"": 19, ""truck"": 3}",1,2,0,0,0,0,22,"{""car"": 19, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
157,6.24,22,22,37.99729997990653,26.3176594265596,,,33.866000012494624,"{""car"": 19, ""truck"": 3}",22,"{""car"": 19, ""truck"": 3}",1,2,0,0,0,0,22,"{""car"": 19, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
158,6.28,21,21,37.14260004926473,26.923263279189737,,,32.95830002753064,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
159,6.32,20,20,33.89869997045025,29.499656354718837,,,30.616400006692857,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
160,6.36,21,21,36.08019999228418,27.71603262215431,,,32.70959999645129,"{""car"": 17, ""truck"": 3, ""bus"": 1}",21,"{""car"": 17, ""truck"": 3, ""bus"": 1}",1,2,0,0,0,0,21,"{""car"": 17, ""truck"": 3, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
161,6.4,22,22,37.359300011303276,26.767096805813924,,,33.15829997882247,"{""car"": 18, ""bus"": 1, ""truck"": 3}",22,"{""car"": 18, ""bus"": 1, ""truck"": 3}",1,2,0,0,0,0,22,"{""car"": 18, ""truck"": 3, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
162,6.44,22,22,37.26639994420111,26.833823538020777,,,32.99070004140958,"{""car"": 18, ""bus"": 1, ""truck"": 3}",22,"{""car"": 18, ""bus"": 1, ""truck"": 3}",1,2,0,0,0,0,22,"{""car"": 18, ""truck"": 3, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
163,6.48,24,24,38.32190000684932,26.094739556787864,,,33.818199997767806,"{""car"": 18, ""bus"": 2, ""truck"": 4}",24,"{""car"": 18, ""bus"": 2, ""truck"": 4}",1,2,0,0,0,0,24,"{""car"": 18, ""truck"": 4, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
164,6.52,24,24,38.56429998995736,25.93071831358051,,,34.21960002742708,"{""car"": 18, ""bus"": 2, ""truck"": 4}",24,"{""car"": 18, ""bus"": 2, ""truck"": 4}",1,2,0,0,0,0,24,"{""car"": 18, ""truck"": 4, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
165,6.56,21,21,36.980400036554784,27.041351608189995,,,32.87960001034662,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
166,6.6,22,22,37.81829995568842,26.44222509133665,,,33.43070001574233,"{""car"": 18, ""truck"": 4}",22,"{""car"": 18, ""truck"": 4}",1,2,0,0,0,0,22,"{""car"": 18, ""truck"": 4, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
167,6.64,22,22,37.55119995912537,26.630307449256055,,,33.39120000600815,"{""car"": 17, ""truck"": 4, ""bus"": 1}",22,"{""car"": 17, ""truck"": 4, ""bus"": 1}",1,2,0,0,0,0,22,"{""car"": 17, ""truck"": 4, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
168,6.68,23,23,37.68639999907464,26.534771164785024,,,33.14800001680851,"{""car"": 17, ""truck"": 4, ""bus"": 2}",23,"{""car"": 17, ""truck"": 4, ""bus"": 2}",1,2,0,0,0,0,23,"{""car"": 17, ""truck"": 4, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
169,6.72,23,23,34.25029997015372,29.196824578804176,,,30.740100017283112,"{""car"": 17, ""truck"": 4, ""bus"": 2}",23,"{""car"": 17, ""truck"": 4, ""bus"": 2}",1,2,0,0,0,0,23,"{""car"": 17, ""truck"": 4, ""bus"": 2, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
170,6.76,22,22,37.89219999453053,26.390655600475636,,,33.52440003072843,"{""car"": 18, ""truck"": 3, ""bus"": 1}",22,"{""car"": 18, ""truck"": 3, ""bus"": 1}",1,2,0,0,0,0,22,"{""car"": 18, ""truck"": 3, ""bus"": 1, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
171,6.8,19,19,36.38409997802228,27.48453309561175,,,32.336600008420646,"{""car"": 17, ""truck"": 2}",19,"{""car"": 17, ""truck"": 2}",1,2,0,0,0,0,19,"{""car"": 17, ""truck"": 2, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
172,6.84,20,20,37.46419999515638,26.692148774811333,,,33.45300001092255,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
173,6.88,21,21,35.29740002704784,28.330698556656177,,,31.974799989257008,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
174,6.92,18,18,36.667299980763346,27.272256220791466,,,32.99080004217103,"{""car"": 15, ""truck"": 3}",18,"{""car"": 15, ""truck"": 3}",1,2,0,0,0,0,18,"{""car"": 15, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
175,6.96,20,20,36.88640001928434,27.110262846935363,,,32.852600037585944,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
176,7.0,23,23,37.19519998412579,26.88518949828959,,,33.043499977793545,"{""car"": 20, ""truck"": 3}",23,"{""car"": 20, ""truck"": 3}",1,2,0,0,0,0,23,"{""car"": 20, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
177,7.04,18,18,35.79499997431412,27.93686271036689,,,32.019699981901795,"{""car"": 15, ""truck"": 3}",18,"{""car"": 15, ""truck"": 3}",1,2,0,0,0,0,18,"{""car"": 15, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
178,7.08,18,18,34.62619998026639,28.879865551804816,,,31.471499998588115,"{""car"": 15, ""truck"": 3}",18,"{""car"": 15, ""truck"": 3}",1,2,0,0,0,0,18,"{""car"": 15, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
179,7.12,18,18,36.750299972482026,27.210662246261453,,,32.90759999072179,"{""car"": 15, ""truck"": 3}",18,"{""car"": 15, ""truck"": 3}",1,2,0,0,0,0,18,"{""car"": 15, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
180,7.16,21,21,36.49979998590425,27.397410407349824,,,32.504400005564094,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
181,7.2,20,20,36.53799998573959,27.368766774051394,,,32.659499964211136,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
182,7.24,21,21,36.85670002596453,27.132108932582884,,,32.67679997952655,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
183,7.28,21,21,36.54619998997077,27.36262594399489,,,32.532400044146925,"{""car"": 18, ""truck"": 3}",21,"{""car"": 18, ""truck"": 3}",1,2,0,0,0,0,21,"{""car"": 18, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
184,7.32,20,20,36.848500021733344,27.13814671995325,,,32.819800020661205,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
185,7.36,20,20,38.23409997858107,26.154662998742086,,,34.29879999021068,"{""car"": 17, ""truck"": 3}",20,"{""car"": 17, ""truck"": 3}",1,2,0,0,0,0,20,"{""car"": 17, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
186,7.4,19,19,38.06250001071021,26.272577989323224,,,34.145800047554076,"{""car"": 16, ""truck"": 3}",19,"{""car"": 16, ""truck"": 3}",1,2,0,0,0,0,19,"{""car"": 16, ""truck"": 3, ""bus"": 0, ""motorcycle"": 0, ""bicycle"": 0}",1,2,3,horizontal
