frame_number,timestamp_seconds,objects_detected,active_tracks,processing_time_ms,fps,contour_count_raw,contour_count_filtered,inference_time_ms,class_counts,roi_objects,roi_class_counts,entered,exited,circle_count,rectangle_count,triangle_count,other_count
74,2.433333333333333,4,4,21.26090001547709,47.03469746210366,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
75,2.466666666666667,4,4,22.169999952893704,45.10599919372019,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
76,2.5,4,4,18.5792000265792,53.82363064983481,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
77,2.533333333333333,4,4,18.440600018948317,54.22817039426415,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
78,2.566666666666667,4,4,19.76890000514686,50.584503929892335,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
79,2.6,4,4,17.542599991429597,57.00409292171902,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
80,2.6333333333333333,4,4,21.6760000330396,46.13397298744012,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
81,2.6666666666666665,4,4,16.97479997528717,58.91085617832634,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
82,2.7,4,4,19.477800000458956,51.34050046598882,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
83,2.7333333333333334,4,4,22.950800019316375,43.57146588172775,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
84,2.7666666666666666,4,4,17.273099976591766,57.89348764004054,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
85,2.8,4,4,16.49909996194765,60.609366711295095,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
86,2.8333333333333335,4,4,16.574099950958043,60.33510133032571,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
87,2.8666666666666667,4,4,16.44589996431023,60.80542884063091,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
88,2.9,4,4,20.177600032184273,49.55990793776021,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
89,2.933333333333333,4,4,18.04609998362139,55.413635129340875,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
90,2.966666666666667,4,4,17.901699990034103,55.860616620583585,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
91,3.0,4,4,15.60729998163879,64.07258149561103,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
92,3.033333333333333,4,4,17.65039999736473,56.65593981718849,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
93,3.066666666666667,4,4,16.84280001791194,59.37255081913473,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
94,3.1,4,4,18.44030001666397,54.229052623673624,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
95,3.1333333333333333,4,4,17.848100047558546,56.02837261867493,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
96,3.1666666666666665,4,4,18.054099986329675,55.389080638591054,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
97,3.2,4,4,17.365299980156124,57.586105690240394,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
98,3.2333333333333334,4,4,17.45599997229874,57.28689284984642,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
99,3.2666666666666666,4,4,23.242800030857325,43.02407621596331,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
100,3.3,4,4,18.06229999056086,55.36393485450845,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
101,3.3333333333333335,4,4,20.790500042494386,48.098891222244156,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
102,3.3666666666666667,4,4,21.296899998560548,46.95519066472537,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
103,3.4,4,4,21.548099990468472,46.40780395683783,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
104,3.433333333333333,4,4,17.400399956386536,57.4699433637424,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
105,3.466666666666667,4,4,18.222699989564717,54.876609973969444,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
106,3.5,4,4,15.927899978123605,62.78291559926066,4,4,,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",4,"{""Circle"": 2, ""Triangle"": 1, ""Rectangle"": 1}",0,0,2,1,1,0
